,coherence_u_mass,coherence_c_v,perplexity
10_1,-3.9929726819566413,0.4800162627675231,-8.406651643970457
10_10,-4.612484988899226,0.4636887734151275,-8.173037946308526
10_20,-4.755001392589108,0.4376801508752875,-8.2417926538077
10_30,-4.668604844091009,0.4746140269141591,-8.27655015596977
10_40,-5.06857344382447,0.42540777556040377,-8.314072169930487
10_50,-4.880309755171103,0.4117627610779394,-8.342556477789703
10_60,-5.240771609022714,0.4801309046949246,-8.333845712194607
10_70,-5.0559786623113805,0.40879315810879097,-8.337096065257406
10_80,-4.556378019335478,0.4449434506858349,-8.345972980408868
10_90,-4.794090954627672,0.42438331346776137,-8.359839631700146
10_100,-4.756367438333443,0.4246394254021366,-8.36394526273652
20_1,-4.413895353325811,0.4765607699200974,-9.700392129667048
20_10,-5.513738024084165,0.5382708231060545,-9.298489284874508
20_20,-6.925019424366324,0.4515001623616489,-9.38843729008956
20_30,-6.305706304777046,0.462813035708782,-9.413002856890172
20_40,-6.047109996766075,0.4954167229215489,-9.414035672388772
20_50,-5.546489314808814,0.45050663008792335,-9.459548876310064
20_60,-6.0581564585384795,0.4455183499659123,-9.45470340749591
20_70,-6.391067825923729,0.4274773297841448,-9.478238711142655
20_80,-5.9702321871660065,0.4443221031790284,-9.480018880996074
20_90,-5.800313647882582,0.4556549115468068,-9.48640544227411
20_100,-5.5029997604951815,0.4503256901133863,-9.479119532971158
30_1,-5.129143196053149,0.4297043145527212,-10.477900230364526
30_10,-6.177151840076971,0.5000465541000294,-9.922612694122995
30_20,-6.886069075070888,0.45097548322843856,-9.976061932069658
30_30,-6.660374172573123,0.4455968540225467,-9.990637299218653
30_40,-6.7465307188862305,0.4156492270104048,-10.03344266683305
30_50,-6.43614167899232,0.4159750493446422,-10.034869362431365
30_60,-6.609137429088085,0.4395824206979271,-10.02555581784759
30_70,-6.575176323408895,0.41210991549191217,-10.059028368648027
30_80,-6.59613961242955,0.4287708338902661,-10.058564011914415
30_90,-7.290075179501674,0.39742175230998034,-10.05862948086203
30_100,-6.723454111730321,0.40260695915662875,-10.068819039734942
40_1,-5.574649758591401,0.42391250138550235,-11.371163199830233
40_10,-6.753194868570067,0.46666232960779974,-10.530990382156162
40_20,-7.580791743219821,0.40273427173605025,-10.572924447598705
40_30,-7.581624622950814,0.41232855568614124,-10.613799635734606
40_40,-7.585842646700105,0.4389060187670939,-10.59849642250776
40_50,-7.521129095897481,0.3897092036372395,-10.608476787835205
40_60,-7.866726108706305,0.39339205236881025,-10.63452852986773
40_70,-7.322543731678445,0.3931568361014722,-10.6333205618741
40_80,-7.479870725017683,0.38964276533589615,-10.632517470084489
40_90,-7.729073793826686,0.40043253847314536,-10.650806583073113
40_100,-7.653590640508884,0.38108180743719294,-10.64810793998651
50_1,-6.512963007497125,0.41306136949418054,-12.209367205726853
50_10,-7.580367558674245,0.44263650333032556,-11.141062261763212
50_20,-8.047952440867846,0.4013431668552995,-11.164952787298137
50_30,-8.038389009558596,0.3975336711213036,-11.188412434213346
50_40,-7.83579350345898,0.3923682974632828,-11.19349539043407
50_50,-8.041204239423244,0.390776801061112,-11.216794920189669
50_60,-7.9432466020730885,0.38243636011468196,-11.204849323335626
50_70,-7.771548011076277,0.3980879749992771,-11.21347666297188
50_80,-8.025282058603253,0.38751885964425303,-11.236280490907127
50_90,-8.035004723026459,0.37989182403219557,-11.2296055869662
50_100,-8.20798755512773,0.3652236586464222,-11.236252273477408
60_1,-7.756486022559324,0.4137954641502855,-13.166617186917493
60_10,-8.62714384394547,0.42250917543868505,-11.730161658642261
60_20,-8.537613885983514,0.3866454058024726,-11.755888524973372
60_30,-8.663370117114917,0.37443083840087316,-11.794525499275238
60_40,-8.387455667720763,0.3787836310967491,-11.786699515019821
60_50,-8.67636163739889,0.3848920143361801,-11.78495068032123
60_60,-8.752018291992407,0.37457166173204004,-11.791798060973466
60_70,-8.26095349402829,0.34989943929754436,-11.821157159244148
60_80,-8.614210871142799,0.3676316637448277,-11.810043334130386
60_90,-8.310126121352706,0.36372579407236805,-11.810237383380818
60_100,-8.681032850301667,0.3621526442453628,-11.822279237274822
70_1,-8.692730741054744,0.3946216554831929,-14.046579487300649
70_10,-8.943773526912155,0.40018423971983674,-12.327548358780872
70_20,-8.971782693779431,0.3731555677930661,-12.358289482745615
70_30,-9.13995920154693,0.3808313910472402,-12.359871338389642
70_40,-8.962549654114596,0.3587934728898725,-12.379894023099244
70_50,-8.983467074233268,0.3719670923083376,-12.369678100231999
70_60,-9.056480398774708,0.36655319458372637,-12.385416180896057
70_70,-9.120075395798365,0.3593128715685183,-12.393561392784283
70_80,-8.984826805924392,0.37592158138062026,-12.391977331124522
70_90,-9.074282322508594,0.35727881799570543,-12.392369382438202
70_100,-9.083526612901707,0.3727967805889573,-12.39920090865754
80_1,-9.54622547701981,0.4013247350182267,-15.094939095153514
80_10,-9.784209697829812,0.3885915565883729,-12.940908796577768
80_20,-9.644722257693534,0.3696573229764918,-12.936638065399224
80_30,-9.57124737149918,0.3699147888366041,-12.926945607920505
80_40,-9.472517082122,0.36329303960889575,-12.937870030379154
80_50,-9.64012967216407,0.3651786551377897,-12.956526015924535
80_60,-9.73334997359334,0.364333609546896,-12.951985143645365
80_70,-9.768066786520654,0.3620890829880657,-12.967362341659832
80_80,-9.578095435849075,0.36080814519103716,-12.940566965754066
80_90,-9.60659591973943,0.3585535413122975,-12.965376899278752
80_100,-9.54526217451177,0.35868280341736963,-12.974819573853546
90_1,-10.318500057121103,0.3886330480544561,-16.146023727058097
90_10,-10.185848881686493,0.411314825058633,-13.475433602378741
90_20,-10.280266351481162,0.3758802717334707,-13.500649892236801
90_30,-10.348307720054159,0.3830995361067699,-13.50776132259916
90_40,-10.228541552905106,0.3735816227610166,-13.515730738380894
90_50,-10.235645514934472,0.36809791161918104,-13.532738930500452
90_60,-10.290294584974301,0.37132723547421825,-13.532119770442524
90_70,-9.961187600741836,0.3579012351674186,-13.533693931968491
90_80,-10.04454725329883,0.36896024892523355,-13.52624355079911
90_90,-10.238636090768187,0.36625561696633113,-13.53087175670197
90_100,-10.131637196482354,0.36422912894532916,-13.560222931553414
100_1,-10.877902350504012,0.411190502519547,-17.206914441795796
100_10,-10.833597532064879,0.4041247274134961,-14.076485815443593
100_20,-10.88812963620392,0.39397521016043824,-14.046963965304757
100_30,-10.887036942975127,0.3779579481848361,-14.09529249274341
100_40,-10.707787890523273,0.3739300359545609,-14.087502578291318
100_50,-10.581812454258348,0.38460001402005334,-14.074156180169494
100_60,-10.802387606221684,0.37693447441287975,-14.081188587312791
100_70,-10.8786544725588,0.37319616211279716,-14.070799716969201
100_80,-10.663750573421387,0.3666010741635414,-14.11243806317851
100_90,-10.787748616572493,0.37224955394692083,-14.092059449459834
100_100,-10.650396927838,0.3674312092355195,-14.099151056371902
